id2,id,keyword,translation,username1,status1,cant_post1,wait_msg1,hidden_from_timeline1,missing_1hr_later1,missing_24hrs_later1,deleted_msg1,deleted_msg_time1,username2,status2,cant_post2,wait_msg2,hidden_from_timeline2,missing_1hr_later2
298,522,胡赵,Hu Zhao,user6,,,,,,,,,user22,deleted,,,,.
299,523,胡总书记,Secretary-General Hu,user6,,,,,,,,,user22,deleted,,,,.
300,528,统筹两个舆论场,coordinate two spaces for public opinion,user6,,,,1,1,,,,user22,deleted,,,1,.
301,530,陕西宣传部,Shaanxi Propaganda Department,user7,active,,,,,,,,user23,deleted,,,,.
302,534,猪席,pig mat,user7,,,,,,1,,,user23,deleted,,,,.
303,535,主习,lord Xi,user7,,,,,,,,,user23,deleted,,,,.
304,536,猪习,pig Xi,user7,,,,,,,,,user23,deleted,,,,.
305,538,习+facebook,Xi+facebook,user7,,,,,,,,,user23,deleted,,,,.
306,539,习+脸谱,Xi+facebook,user7,,,,,,,,,user23,deleted,,,,.
307,540,xi主席,Chairman xi,user7,,,,1,1,,,,user23,deleted,,,,.
308,541,蛤蛤,Toady,user7,,,,,,,,,user23,deleted,,,,.
309,542,蛤丝,Toad thread,user7,,,,,,,,,user23,deleted,,,,.
310,543,蛤主席,Chairman Toad,user7,,,,,,,,,user23,deleted,,,,.
