id,name,banned,results,datetested,trigger,results2,datetested2,translation
153,李明+李东生,1,-1,2014-05-11 04:33:20 UTC,李明李东生,0,2014-11-03 17:56:33 UTC,Li Ming+Li Dongsheng
154,李明+调查,,363,2014-05-11 04:33:45 UTC,,9281,2014-11-03 17:56:57 UTC,Li Ming+investigation
155,北京公安局长,1,-1,2014-05-11 04:35:22 UTC,北京公安局长,0,2014-11-03 17:57:19 UTC,Beijing Public Security Bureau Director 
156,香港商报+中纪委,1,-1,2014-05-11 04:36:59 UTC,香港商报中纪委,0,2014-11-03 17:57:39 UTC,Hong Kong Commercial Daily+Central Discipline Commission
157,中纪委+大老虎,1,-1,2014-05-11 04:38:34 UTC,中纪委大老虎,0,2014-11-03 17:58:00 UTC,Central Discipline Commission+big tiger
158,常委+财产,1,-1,2014-05-11 04:39:45 UTC,常委财产,0,2014-11-03 17:58:20 UTC,Standing Committee member+assets
159,方便面+抓,1,-1,2014-05-11 04:40:56 UTC,方便面抓,0,2014-11-03 17:58:40 UTC,instant noodles+grab
160,习+老好人,,40,2014-05-11 04:41:19 UTC,,113,2014-11-03 17:59:04 UTC,Xi+nice guy
161,不伦不类,1,-1,2014-05-11 04:41:43 UTC,不伦不类,0,2014-11-03 17:59:26 UTC,wishy-washy
162,习+作秀,1,-1,2014-05-11 04:42:53 UTC,习作秀,0,2014-11-03 17:59:47 UTC,Xi+put on a show
163,习+炒作,1,-1,2014-05-11 04:44:04 UTC,习炒作,0,2014-11-03 18:00:08 UTC,Xi+speculate
164,习+演戏,1,-1,2014-05-11 04:45:15 UTC,习演戏,0,2014-11-03 18:00:29 UTC,Xi+put on an act
165,习+大动作,1,-1,2014-05-11 04:46:49 UTC,习大动作,0,2014-11-03 18:00:49 UTC,Xi+big move
166,习+新政,1,-1,2014-05-11 04:48:00 UTC,习新政,0,2014-11-03 18:01:09 UTC,Xi+new administration
167,习+前任,1,-1,2014-05-11 04:49:11 UTC,习前任,0,2014-11-03 18:01:29 UTC,Xi+predecessor
168,习+周,1,-1,2014-05-11 04:50:23 UTC,习周,0,2014-11-03 18:01:49 UTC,Xi+Zhou [Yongkang]
169,李东生+习,1,-1,2014-05-11 04:51:56 UTC,李东生习,0,2014-11-03 18:02:10 UTC,Li Dongsheng+Xi
170,习负责,1,-1,2014-05-11 04:53:08 UTC,习负责,0,2014-11-03 18:02:30 UTC,Xi is responsible [for...]
171,习明（泽）,1,-1,2014-05-11 04:54:59 UTC,习明,0,2014-11-03 18:02:51 UTC,Xi Ming[ze]
172,政治谣言,1,-1,2014-05-11 04:56:11 UTC,政治谣言,0,2014-11-03 18:03:11 UTC,political rumor
173,政治内幕,1,-1,2014-05-11 04:57:22 UTC,政治内幕,0,2014-11-03 18:03:32 UTC,politics behind the scenes
174,刀+新疆,1,-1,2014-05-11 04:58:33 UTC,刀新疆,0,2014-11-03 18:03:52 UTC,knife+Xinjiang
175,军队+警察,1,-1,2014-05-11 04:59:44 UTC,军队警察,0,2014-11-03 18:04:12 UTC,army+police
176,毛+专制,1,-1,2014-05-11 05:00:55 UTC,毛专制,0,2014-11-03 18:04:33 UTC,Mao+autocracy
177,毛+独裁,1,-1,2014-05-11 05:02:06 UTC,毛独裁,0,2014-11-03 18:04:54 UTC,Mao+dictatorship
178,周老虎,1,-1,2014-05-11 05:03:17 UTC,周老虎,0,2014-11-03 18:05:14 UTC,Tiger Zhou
179,周政法,1,-1,2014-05-11 05:04:29 UTC,周政法,0,2014-11-03 18:05:34 UTC,Politburo Zhou
180,方便面+下台,1,-1,2014-05-11 05:05:40 UTC,方便面下台,0,2014-11-03 18:05:55 UTC,instant noodles+leave office
181,方便面+出事,1,-1,2014-05-11 05:06:52 UTC,方便面出事,0,2014-11-03 18:06:15 UTC,instant noodles+have a mishap
182,方便面+双规,1,-1,2014-05-11 05:08:27 UTC,方便面双规,0,2014-11-03 18:06:36 UTC,instant noodles+double detention
183,方便面+被抓,1,-1,2014-05-11 05:10:03 UTC,方便面抓,0,2014-11-03 18:06:56 UTC,instant noodles+caught
184,方便面+被捕,1,-1,2014-05-11 05:11:16 UTC,方便面被捕,0,2014-11-03 18:07:16 UTC,instant noodles+arrested
185,习+老虎,,59452,2014-05-11 05:11:40 UTC,,104466,2014-11-03 18:07:40 UTC,Xi+tiger
186,吴兵+白手套,1,-1,2014-05-11 05:13:39 UTC,吴兵,0,2014-11-03 18:08:01 UTC,Wu Bin+white glove 
187,令谷,1,-1,2014-05-11 05:14:51 UTC,令谷,0,2014-11-03 18:08:22 UTC,Ling Gu
188,谌洪果,,33,2014-05-11 05:15:17 UTC,,187647,2014-11-03 18:08:45 UTC,Chen Hongguo
189,李东生+汤灿,1,-1,2014-05-11 05:16:52 UTC,李东生汤灿,0,2014-11-03 18:09:07 UTC,Li Dongsheng+Tang Can
190,李东生+周,1,-1,2014-05-11 05:18:26 UTC,李东生周,0,2014-11-03 18:09:28 UTC,Li Dongsheng+Zhou
191,李东生+zhou,1,-1,2014-05-11 05:20:01 UTC,李东生zhou,0,2014-11-03 18:09:48 UTC,Li Dongzheng+zhou
192,李东生+ZK,1,-1,2014-05-11 05:21:35 UTC,李东生ZK,0,2014-11-03 18:10:08 UTC,Li Dongsheng+ZK
193,曹建明+调查,1,-1,2014-05-11 05:23:10 UTC,曹建明调查,0,2014-11-03 18:10:29 UTC,Cao Jianming+investigate
194,习+某平,1,-1,2014-05-11 05:24:45 UTC,习某,0,2014-11-03 18:10:49 UTC,Xi+Some-ping
195,习+平平,1,-1,2014-05-11 05:25:57 UTC,习平平,0,2014-11-03 18:11:10 UTC,Xi+Pingping
196,习+亲属,1,-1,2014-05-11 05:27:09 UTC,习亲属,0,2014-11-03 18:11:30 UTC,Xi+relatives
197,联合报,,108898,2014-05-11 05:27:33 UTC,,123024,2014-11-03 18:11:53 UTC,United Daily News
